engine,workload,scale,threads,elapsed_ms,ns_per_op,ops_per_sec,rss_delta_kb,read_kb,write_kb,disk_kb,gc_time_ms
je,w01_seq_write,1000,1,873.919,873918.952,1144.271,1844,0,51820,152,0
je,w02_rand_write,1000,1,806.139,806138.551,1240.482,396,0,67860,159,0
je,w03_seq_read,1000,1,24.079,24078.840,41530.240,156,0,0,152,0
je,w04_rand_read,1000,1,8.784,8784.467,113837.299,0,0,0,152,0
je,w05_range_scan,1000,1,12.003,12002.788,83313.977,-12,0,0,152,0
je,w06_write_heavy,1000,1,666.323,666322.502,1500.775,64,0,61328,265,0
je,w07_read_heavy,1000,1,90.393,90392.676,11062.843,0,0,6812,164,0
je,w08_delete_insert,1000,1,1421.243,710621.492,1407.219,-4592,0,143944,341,0
je,w09_txn_multi,1000,1,754.064,150812.725,6630.740,776,0,68300,410,0
je,w10_concurrent,1000,6,252.804,253819.098,3939.814,2896,0,21672,200,0
je,w01_seq_write,10000,1,7093.458,709345.790,1409.750,5140,0,722992,1460,0
je,w02_rand_write,10000,1,7274.077,727407.736,1374.745,64,0,814492,1609,0
je,w03_seq_read,10000,1,23.846,2384.579,419361.290,3612,0,0,1460,0
je,w04_rand_read,10000,1,20.067,2006.692,498332.480,12,0,0,1460,0
je,w05_range_scan,10000,1,14.220,1422.040,703215.050,4,0,0,1460,0
je,w06_write_heavy,10000,1,6673.847,667384.675,1498.386,916,0,760164,2594,0
je,w07_read_heavy,10000,1,749.537,74953.695,13341.570,32,0,84172,1586,0
je,w08_delete_insert,10000,1,14656.145,732807.263,1364.615,164,0,1674256,3354,0
je,w09_txn_multi,10000,1,7631.642,152632.833,6551.670,80,0,783432,4199,0
je,w10_concurrent,10000,6,2318.105,231903.309,4312.142,280,0,259772,2016,0
je,w01_seq_write,100000,1,71974.832,719748.317,1389.375,172,0,8167308,15026,7
je,w02_rand_write,100000,1,70166.713,701667.128,1425.177,8112,0,8076804,16638,10
je,w03_seq_read,100000,1,181.833,1818.328,549955.681,36,0,0,15026,1
je,w04_rand_read,100000,1,246.854,2468.542,405097.428,0,0,0,15026,1
je,w05_range_scan,100000,1,69.156,691.560,1446006.340,64,0,0,15026,0
je,w06_write_heavy,100000,1,64717.432,647174.322,1545.179,5788,0,7376980,29128,8
je,w07_read_heavy,100000,1,6826.605,68266.048,14648.570,44,0,843392,16332,1
je,w08_delete_insert,100000,1,141043.043,705215.215,1418.007,24604,0,16210060,28729,3
je,w09_txn_multi,100000,1,76364.537,152729.075,6547.542,72,0,8208316,43117,15
je,w10_concurrent,100000,6,22803.030,228039.426,4385.207,3712,0,2477952,20747,0
